FIPS_N,Issuer,Tax_Supported_Debt,Revenue_Supported_Debt,Lease_Purchase_Obligations,Total_Debt_Outstanding, County_Population ,Debt_per_capita,Total_Debt_Outstanding_per_capitastr,Link,Text_for_link
48065,Carson,"$7,005,000",$0,$0,"$7,005,000"," 6,157 ",1138,"$1,138",http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48067,Cass,"$6,475,000",$0,$0,"$6,475,000"," 30,166 ",215,$215,http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?countyname=Cass+County&countysubmit=GO,View Debt Profile
48069,Castro,$0,$0,$0,$0," 8,164 ",0,$0,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48071,Chambers,"$5,455,000",$0,$0,"$5,455,000"," 36,196 ",151,$151,http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?countyname=Chambers+County&countysubmit=GO,View Debt Profile
48073,Cherokee,"$615,000",$0,$0,"$615,000"," 51,206 ",12,$12,http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?countyname=Cherokee+County&countysubmit=GO,View Debt Profile
48075,Childress,"$5,590,000",$0,$0,"$5,590,000"," 7,029 ",795,$795,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48077,Clay,"$1,270,000",$0,$0,"$1,270,000"," 10,535 ",121,$121,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48079,Cochran,$0,$0,$0,$0," 3,046 ",0,$0,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48081,Coke,$0,$0,$0,$0," 3,231 ",0,$0,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48083,Coleman,$0,$0,$0,$0," 8,675 ",0,$0,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48085,Collin,"$393,210,000",$0,$0,"$393,210,000"," 834,642 ",471,$471,http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?Countyname=Collin+County&countysubmit=GO,View Debt Profile
48087,Collingsworth,$0,$0,$0,$0," 3,036 ",0,$0,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48089,Colorado,"$8,185,000",$0,$0,"$8,185,000"," 20,696 ",395,$395,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48091,Comal,"$68,755,000",$0,$0,"$68,755,000"," 114,384 ",601,$601,http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?Countyname=Comal+County&countysubmit=GO,View Debt Profile
48093,Comanche,"$1,543,000",$0,$0,"$1,543,000"," 13,765 ",112,$112,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48095,Concho,"$600,000",$0,$0,"$600,000"," 4,010 ",150,$150,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48097,Cooke,"$7,805,000",$0,$0,"$7,805,000"," 38,688 ",202,$202,http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?countyname=Cooke+County&countysubmit=GO,View Debt Profile
48099,Coryell,$0,$0,$0,$0," 77,231 ",0,$0,http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?Countyname=Coryell+County&countysubmit=GO,View Debt Profile
48101,Cottle,$0,$0,$0,$0," 1,486 ",0,$0,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48103,Crane,$0,$0,$0,$0," 4,562 ",0,$0,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
